"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Kiner-Falefa, Isiah",643396,2026,86,15.1,9.3,".332",".319",40,3.1,29.2,"95.923545806","92.106007705",17.7,50.9
"Bogaerts, Xander",593428,2026,229,17.9,9.6,".306",".324",29.5,6.7,35.5,"99.024264096","93.650640303",22.6,44.1
"Sosa, Lenyn",672820,2026,117,21.4,0.9,".215",".249",34.4,5.6,36.7,"98.841732","93.512313708",21.5,56
"Okamoto, Kazuma",672960,2026,242,31.8,10.3,".330",".332",32.1,15.3,53.3,"103.578086522","96.652359489",33.2,44.8
"Naylor, Bo",666310,2026,90,23.3,6.7,".201",".296",30.2,11.5,42.6,"100.081128065","94.30415623",14.8,45.2
"Lindor, Francisco",596019,2026,105,18.1,10.5,".303",".340",31.1,9.5,43.2,"100.295103784","94.53938",25.8,45.5
"Walker, Jordan",691023,2026,247,26.3,8.5,".383",".369",33.3,14.5,52.2,"105.268129125","97.312244088",31.9,52.4
"Betts, Mookie",605141,2026,117,12.8,7.7,".292",".330",39.1,8.7,37,"98.34705913","93.586467391",13.3,41.9
"Morel, Christopher",666624,2026,67,38.8,6,".204",".216",33.3,2.8,41.7,"100.155191111","94.281483611",35,51
"Alvarez, Yordan",670541,2026,267,18,15,".446",".492",45.4,19.8,53.4,"105.987802907","97.688916512",20.1,42.6
"Robles, Victor",645302,2026,26,23.1,0,".305",".280",30,5,25,"93.835415","91.5508125",24.1,49.1
"Montgomery, Colson",695657,2026,250,29.6,8.8,".351",".328",35.2,13.8,44.1,"101.848164384","95.214450621",37.5,51.8
"Keith, Colt",690993,2026,177,20.3,5.6,".293",".306",35.4,4.7,40,"99.647006","94.045714729",22.6,42.3
"Reyes, Felix",694025,2026,38,23.7,0,".183",".233",37.9,6.9,27.6,"98.874941333","93.637018966",27.5,58.5
"Kurtz, Nick",701762,2026,268,29.1,20.5,".415",".398",39.1,18.8,58.6,"106.322097879","98.479503409",35.6,40.1
"Tromp, Chadwick",644433,2026,25,28,0,".203",".165",33.3,0,27.8,"96.392565","92.331470625",26.8,57.7
"Ramírez, Agustín",682663,2026,129,21.7,10.1,".298",".282",26.7,4.7,40.7,"101.906475116","95.046452907",31,48.4
"Mateo, Jorge",622761,2026,87,28.7,5.7,".370",".361",47.4,12.3,47.4,"102.838249643","95.55842375",29.9,53.6
"Short, Zack",670097,2026,38,21.1,18.4,".286",".331",31.8,9.1,31.8,"97.87254","93.124209",31.7,46.3
"Holliday, Jackson",702616,2026,39,25.6,12.8,".335",".319",37.5,8.3,37.5,"98.388180833","93.2469875",34.8,41.5
"Semien, Marcus",543760,2026,239,20.1,6.7,".277",".321",35.1,8.7,35.1,"97.468080471","92.744330765",21.8,50.6
"Matthews, Brice",694728,2026,159,32.1,6.9,".263",".262",32,7.2,40.2,"100.48462","94.495900109",37.4,45.7
"DeLuca, Jonny",676356,2026,125,20.8,4,".312",".277",29.8,3.2,29.8,"97.701753696","92.958317473",26.3,52.3
"Mangum, Jake",663968,2026,123,18.7,7.3,".314",".290",24.7,1.1,25.8,"95.356056341","91.725918889",20.1,59.5
"Wells, Austin",669224,2026,163,25.8,14.1,".257",".309",31.6,7.1,45.9,"100.633117083","94.721724479",28.5,46.7
"Jiménez, Eloy",650391,2026,35,20,8.6,".291",".256",32,4,44,"98.972092308","93.9795348",29.9,51.5
"Canzone, Dominic",686527,2026,146,21.9,8.9,".364",".359",36.4,15.2,48.5,"103.2726366","96.558626162",31.2,46.1
"Caballero, José",676609,2026,177,18.6,5.6,".313",".285",30.8,3.1,27.7,"96.429784754","92.22463041",26.2,49.8
"Ramírez, José",608070,2026,272,12.9,14.3,".333",".370",37.1,7.1,44.4,"100.545522653","94.63619898",15.7,46.4
"Schmitt, Casey",669477,2026,220,20.5,3.2,".364",".353",36.2,14.8,44.2,"100.710361235","94.67901642",23.4,52.2
"Castro, Willi",650489,2026,192,28.6,8.3,".313",".285",30.3,5.9,46.2,"100.475045932","94.540130598",29.8,54
"Heim, Jonah",641680,2026,79,16.5,8.9,".280",".283",32.2,5.1,25.4,"96.178575333","92.173383559",20.3,45.4
"Martínez, Angel",682657,2026,205,21.5,2.9,".314",".301",35.8,8,35.3,"99.734403562","94.044824483",18.9,54.4
"Soderstrom, Tyler",691016,2026,241,18.3,11.2,".324",".332",29.6,11.3,43.2,"101.43262369","94.89936369",22.4,47.4
"Wong, Connor",657136,2026,76,22.4,7.9,".324",".286",27.5,3.9,37.3,"99.731355","93.875692708",25.5,49.3
"Johnston, Troy",687859,2026,212,20.3,7.5,".359",".329",44.4,2.6,37.7,"98.55370027","93.393400743",23.7,49.8
"Bellinger, Cody",641355,2026,256,12.9,14.8,".375",".375",40.5,7.7,38.4,"98.722207283","93.662721913",17,43
"Stephenson, Tyler",663886,2026,171,27.5,12.3,".274",".321",39.8,12,42.7,"99.7922192","94.2867195",27,44.9
"Moreno, Gabriel",672515,2026,140,20,9.3,".322",".356",40.8,11.2,43.9,"99.547401429","93.872259082",19.2,44.6
"Rengifo, Luis",650859,2026,179,11.2,8.4,".245",".295",28.7,4.9,35.7,"97.921870286","93.096048058",19.4,49.9
"Turang, Brice",668930,2026,249,23.3,18.1,".383",".382",39,8.3,48.6,"101.436211111","95.670602448",20.5,40.7
"Alonso, Pete",624413,2026,262,22.9,10.3,".337",".366",33.3,12.6,55.7,"103.537527701","97.107432126",27.4,45
"Schneemann, Daniel",682177,2026,175,29.1,10.3,".308",".307",38.7,6.7,35.2,"98.04926283","93.170772381",31.1,48.2
"Conforto, Michael",624424,2026,94,26.6,14.9,".391",".389",40,16.4,54.5,"103.338730714","96.891396",30.7,42.3
