"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Smith, Will",669257,2026,144,17.4,9.7,".316",".370",42.9,14.3,39,"99.922578302","94.200540857",17.9,41.6
"Hernández, Teoscar",606192,2026,162,27.8,9.3,".338",".327",33.7,10,42.6,"100.3805704","94.3733749",30.2,44.1
"Bell, Josh",605137,2026,174,24.1,8,".270",".297",35.9,9.4,42.7,"99.710262373","94.121141709",27.3,50.9
"Correa, Carlos",621043,2026,141,18.4,12.8,".352",".365",36.1,10.3,41.2,"101.668709184","94.924922887",22.9,45
"Díaz, Yandy",650490,2026,180,12.2,8.3,".367",".357",26.3,6.6,43.4,"101.548422899","95.007402774",13.4,45.6
"Langeliers, Shea",669127,2026,183,21.3,8.2,".435",".422",40.6,16.4,48.4,"104.152423594","96.576697109",25.1,51.7
"Arozarena, Randy",668227,2026,194,23.2,9.8,".379",".327",35.5,5.6,41.1,"100.158129194","94.69683252",28.9,46.5
"Mitchell, Garrett",669003,2026,143,37.1,15.4,".311",".325",29.9,13.4,50.7,"104.647400606","96.824054848",37.5,40.9
"Wood, James",695578,2026,211,31.8,17.5,".383",".426",38.5,26.9,61.5,"107.582219038","99.460671731",35.4,36.5
"Clement, Ernie",676391,2026,179,7.8,3.4,".316",".292",31.4,1.3,27.7,"96.194773333","92.134859872",15.2,56.7
"Benge, Carson",701807,2026,146,21.2,7.5,".282",".309",38.5,5.8,43.3,"100.929252308","94.918773173",20.4,46.5
"Witt Jr., Bobby",677951,2026,202,17.3,10.9,".386",".398",35.2,13.3,53.1,"103.761395278","96.767193776",24.3,48.8
"Lee, Jung Hoo",808982,2026,184,12,5.4,".311",".317",37.3,2,31.3,"96.862","92.603087919",14.3,45.6
"Reynolds, Bryan",668804,2026,195,23.1,17.4,".353",".349",30.7,7,43.9,"101.581483684","95.010454211",29.9,42.4
"Busch, Michael",683737,2026,193,22.8,15,".326",".329",28.8,9.3,40.7,"99.281116949","93.834971525",25.9,42.4
"Altuve, Jose",514888,2026,181,18.8,10.5,".313",".316",33.1,6.4,37,"98.389650164","93.238547459",24.4,47
"DeLauter, Chase",800050,2026,170,9.4,12.4,".378",".373",37.6,6.9,40.9,"100.395313333","94.316665496",14.3,40.6
"Rumfield, TJ",681198,2026,179,16.8,8.4,".348",".341",39.4,8.4,38.6,"98.769057727","93.446107099",19.5,51.3
"Crawford, J.P.",641487,2026,164,14.6,17.7,".333",".370",36.7,8.3,37.6,"98.745186038","93.482663113",13.7,36
"Dubón, Mauricio",643289,2026,173,17.9,6.4,".313",".304",38.8,5.4,31,"97.236372462","92.654662558",19.7,50.1
"Marsee, Jakob",805300,2026,193,24.9,12.4,".283",".281",26.5,4.3,39.3,"98.821715088","93.532998053",19.3,38.7
"Sánchez, Jesús",660821,2026,142,19,4.2,".314",".323",30.2,6.6,45.3,"101.185675283","94.934973302",24.7,54.9
"Perdomo, Geraldo",672695,2026,167,13.8,15,".312",".319",33.6,3.4,31.1,"96.786449643","92.451661071",11.4,38.7
"Riley, Austin",663586,2026,187,26.7,7.5,".295",".304",30,10,45,"101.703433833","95.29718325",32.6,47.9
"Grisham, Trent",663757,2026,172,17.4,16.3,".299",".347",30.7,14.9,50.9,"101.415440351","95.560909561",17.8,32.9
"García, Adolis",666969,2026,177,27.7,7.9,".286",".308",36.6,8,49.1,"101.819405714","95.638241339",30.5,44.3
"Soler, Jorge",624585,2026,174,32.8,10.3,".326",".312",34.7,12.6,43.2,"101.27146","94.758160737",37.6,45.9
"Simpson, Chandler",802415,2026,177,9.6,4.5,".310",".264",30.3,0,16.6,"93.306460972","90.68013",10.1,47.4
"Carroll, Corbin",682998,2026,172,22.7,14,".383",".357",32.7,11.2,43.9,"100.61091","94.448548318",30.4,43.7
"Paredes, Isaac",670623,2026,169,17.2,8.9,".335",".308",34.5,4.2,26.1,"96.2982155","92.321999664",16.8,44.9
"Story, Trevor",596115,2026,176,32.4,4.5,".246",".249",30,3.6,41.8,"99.268155636","93.840743853",31.7,55.4
"Naylor, Josh",647304,2026,187,16,8,".303",".339",34,7.1,42.6,"99.646664714","94.051771857",21.8,54.8
"Durbin, Caleb",702332,2026,152,15.8,7.2,".236",".261",22.1,0.9,30.1,"96.566014","92.303680636",16.4,42.8
"Dingler, Dillon",693307,2026,156,18.6,6.4,".354",".403",44.1,14.5,51.4,"101.758499818","95.711148182",20.4,49.3
"Bauers, Jake",641343,2026,146,22.6,10.3,".360",".332",29.6,11.3,53.1,"103.150984286","96.734185052",24.8,42.2
"Frelick, Sal",686217,2026,155,12.3,10.3,".283",".289",27.6,3.4,25.9,"96.331963509","92.165981754",11.8,41.9
"Baldwin, Drake",686948,2026,204,21.6,9.8,".398",".397",40.9,17.5,51.8,"103.300830725","96.516728905",23.7,50.6
"Devers, Rafael",646240,2026,184,30.4,7.1,".297",".267",30.4,7.9,44.3,"101.187388421","94.907504737",31.8,52
"Contreras, Willson",575929,2026,178,28.1,11.2,".359",".386",34,16.3,44,"103.562231837","95.967539796",34.1,45.6
"Torres, Gleyber",650402,2026,144,15.3,17.4,".337",".347",36.5,6.3,26,"95.017010833","91.514231042",20.3,38.3
"Ward, Taylor",621493,2026,200,17.5,21.5,".373",".367",34.7,5,36.4,"98.638896885","93.480216529",15.8,28.7
"Winn, Masyn",691026,2026,168,19,8.3,".314",".305",32.2,3.4,28.8,"97.144975345","92.588076034",22.4,43
"Alvarez, Yordan",670541,2026,202,15.3,14.4,".451",".500",46.4,17.5,52.2,"105.727073478","97.546456642",19.9,43.3
"Soderstrom, Tyler",691016,2026,177,21.5,10.2,".293",".322",29.8,13.3,47.9,"102.4224135","95.66388775",24.4,48.3
"Meidroth, Chase",805367,2026,180,23.9,10.6,".336",".302",30.8,4.3,39.3,"97.893635","93.153283036",19.6,38.1
"House, Brady",691781,2026,166,28.9,7.2,".287",".312",27.4,10.5,43.4,"101.527224151","94.989215048",34.1,52
"Kwan, Steven",680757,2026,187,11.2,12.3,".268",".283",31.9,0.7,10,"91.361390294","89.831079853",8,35.5
"Adames, Willy",642715,2026,186,30.1,3.8,".270",".273",36.9,8.2,41.8,"99.404384918","93.939608033",26.1,48.5
"Rafaela, Ceddanne",678882,2026,156,22.4,5.8,".352",".305",37.7,8.7,37.7,"97.975573462","93.048025049",25.4,48
"Murakami, Munetaka",808959,2026,190,33.7,18.4,".385",".387",33,22,61.5,"105.558225333","98.377313778",43.7,41.4
"Guerrero Jr., Vladimir",665489,2026,185,11.9,11.9,".337",".365",32.4,8.6,42.4,"102.260689286","95.309905899",20.4,47.6
"Smith, Cam",701358,2026,174,28.7,10.3,".279",".337",34,13.7,43.7,"102.05490098","95.202575392",30.7,46.9
"Greene, Riley",682985,2026,187,26.7,13.9,".407",".385",40.5,13.5,49.5,"102.802622857","95.933065766",29.2,43.7
"Stott, Bryson",681082,2026,146,17.1,4.8,".278",".300",31.9,6.2,40.7,"99.238831964","93.956095495",15.8,42.3
"Swanson, Dansby",621020,2026,175,21.1,13.1,".295",".321",29.8,8.8,46.5,"100.161432857","94.561390536",29,44.8
"Lopez, Otto",672640,2026,185,17.3,3.8,".378",".339",31.3,9.1,43.1,"101.374115","95.086253357",21.5,48.2
"McGonigle, Kevin",805808,2026,189,12.7,14.3,".372",".385",43.4,10.3,35.3,"98.415010588","93.444034926",13.2,42
"Wetherholt, JJ",802139,2026,204,17.6,11.3,".345",".353",37.8,7.5,43,"99.354051194","93.959190597",23.8,43.5
"Vargas, Ildemaro",545121,2026,151,10.6,3.3,".412",".341",34.1,4.7,34.9,"98.387722857","93.225524841",14.7,52.6
"Bregman, Alex",608324,2026,201,16.4,11.4,".314",".336",31.3,6.9,46.5,"99.835033333","94.33819965",17.4,38.1
"Alonso, Pete",624413,2026,191,24.6,11,".321",".343",31.1,12.3,52.5,"102.872343443","96.562574426",29.4,43.8
