"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Leiter, Jack",683004,2026,214,25.7,9.8,".328",".339",38.2,12.6,42.6,"75.537485672","94.629866418",28.4,47
"Nelson, Ryne",669194,2026,192,22.4,7.3,".312",".334",35.3,12,45.9,"80.88710197","95.081534773",24.3,53.5
"Kochanowicz, Jack",686799,2026,227,15,11,".301",".365",30.9,8.1,43,"79.015154375","94.945159686",22.7,45.6
"Martinez, Nick",607259,2026,193,16.1,5.2,".269",".311",31.3,6,30,"75.107340533","92.928666242",18.3,49
"Wacha, Michael",608379,2026,224,21,8,".279",".315",31.4,7.7,38.5,"77.540988312","93.84987366",23.3,46.8
"Cabrera, Edward",665795,2026,211,21.3,8.5,".332",".330",34.7,12.9,39.5,"81.782315139","95.037134236",27.3,48.7
"Elder, Bryce",693821,2026,217,24.4,9.2,".247",".273",33.1,3.5,38.7,"79.711062","94.040879286",25.5,46.1
"Pérez, Eury",691587,2026,207,25.6,11.6,".346",".347",37.3,13.5,42.9,"78.770243333","94.86847112",28.6,49.6
"Vásquez, Randy",681190,2026,203,22.2,6.4,".294",".344",37.3,11.3,44.4,"79.646061429","94.9092645",25.1,49.8
"Yamamoto, Yoshinobu",808967,2026,195,24.6,5.1,".291",".317",35.3,10.3,40.4,"78.219247463","94.609435746",30.1,49.4
"Fried, Max",608331,2026,240,20.8,7.9,".244",".254",26.6,1.8,30.8,"74.389795904","92.929946807",23.2,44.7
"Martin, Davis",663436,2026,192,27.1,5.2,".274",".314",37,7.9,45.7,"79.893078226","95.001275242",26.1,51.2
"Civale, Aaron",650644,2026,203,17.2,6.9,".334",".330",36.2,6.6,48,"82.298591316","94.761747682",18.8,44.4
"Bubic, Kris",663460,2026,207,24.6,12.6,".290",".328",38.8,7.8,39.5,"79.03376375","94.143149606",26.1,46.9
"Burns, Chase",695505,2026,207,26.6,8.7,".262",".275",24.8,7.9,36.8,"78.033993871","93.965190806",33.8,49.4
"Luzardo, Jesús",666200,2026,213,28.6,6.1,".329",".284",37.5,5.9,28.7,"74.435143134","92.571029173",33,46.9
"Imanaga, Shota",684007,2026,211,28,6.2,".245",".273",36.7,9.4,38.8,"78.412010435","93.655192826",32.3,51.7
"Severino, Luis",622663,2026,211,22.3,13.7,".345",".337",34.6,9.8,41.4,"78.441039697","94.026660153",22.6,45.3
"Bradish, Kyle",680694,2026,206,25.2,12.1,".349",".314",28.1,10.2,39.8,"75.601034286","93.90449944",26.8,44.4
"Woo, Bryan",693433,2026,211,22.3,4.7,".276",".290",36.2,8.6,44.1,"77.912669474","94.683668092",22.9,53.8
"Taillon, Jameson",592791,2026,186,21.5,8.6,".324",".325",33.6,13.3,35.9,"75.543307656","93.79644189",25.8,45
"Detmers, Reid",672282,2026,213,24.9,8,".305",".286",28.3,6.6,36.2,"77.671256324","93.872845147",26.2,48.7
"Misiorowski, Jacob",694819,2026,202,39.6,8.4,".234",".253",39,3,34,"75.8387476","92.988035",39.5,48.8
"Abbott, Andrew",671096,2026,225,15.6,10.2,".332",".343",30.5,6.3,37.1,"78.652958205","94.032497051",20.5,44.5
"Springs, Jeffrey",605488,2026,206,21.4,7.3,".314",".302",35.2,8.3,32.4,"77.632240139","93.041083357",24.8,45.7
"Webb, Logan",657277,2026,208,20.2,7.2,".336",".336",31.3,6.8,49,"79.910497808","95.422235103",20.4,48.3
"Keller, Mitch",656605,2026,210,18.1,7.1,".267",".326",36.5,5.1,39.7,"74.320438312","93.914054935",21.3,47.6
"Skenes, Paul",694973,2026,185,30.3,3.8,".198",".218",31.4,4.2,28.8,"73.81595","92.696745862",26.2,52.4
"Gore, MacKenzie",669022,2026,204,26,10.8,".304",".319",35.2,10.9,43.8,"77.208597969","95.281042126",23.9,48.6
"McGreevy, Michael",700241,2026,191,18.8,5.8,".250",".372",36.1,11.2,39.6,"77.346754225","94.70621695",19.9,45
"Burrows, Mike",681347,2026,221,20.8,7.7,".380",".314",37.2,7.7,36.5,"76.551321299","93.508921299",24.9,48.6
"Mlodzinski, Carmen",669387,2026,197,21.8,8.1,".329",".344",35.6,8.1,53.3,"82.874367015","95.637738881",21.3,44.2
"Cecconi, Slade",677944,2026,205,18.5,8.3,".370",".356",37.4,10.3,36.1,"75.397005694","93.869784583",20.8,46.5
"Cease, Dylan",656302,2026,217,34.6,9.7,".265",".272",31.4,4.3,37.3,"75.042906897","93.996219569",36.1,46
"Alcantara, Sandy",645261,2026,242,16.1,8.3,".303",".297",28,5.5,36.3,"77.642672111","93.568578833",24,50.1
"Liberatore, Matthew",669461,2026,203,16.7,8.9,".365",".374",39.7,9.9,45,"81.616388533","95.448099067",20.6,47.1
"Valdez, Framber",664285,2026,223,18.8,7.6,".315",".326",27.7,6.4,44,"78.931552658","94.914844522",21.9,48.5
"Lugo, Seth",607625,2026,221,20.8,8.6,".325",".346",41.7,9.6,41.7,"81.678908182","94.616456797",18.4,47.9
"Peralta, Freddy",642547,2026,210,23.8,9,".287",".301",37.4,4.3,37.4,"76.302408971","93.43608125",27.8,47.9
"Ray, Robbie",592662,2026,203,24.1,9.9,".316",".337",38.8,12.1,33.6,"77.414031231","93.448132692",27.3,48.5
"Messick, Parker",800048,2026,205,28.3,6.8,".264",".281",32.6,6.1,31.1,"74.737162154","93.322656589",27.4,49
"Sánchez, Cristopher",650911,2026,236,28.4,5.9,".297",".267",29.9,8.4,40.9,"77.153995714","94.283591438",31.6,50.6
"Meyer, Max",676974,2026,203,26.6,8.4,".286",".327",36.4,10.9,41.1,"79.121512344","94.440823984",31.9,49.1
"Early, Connelly",813349,2026,199,22.6,9,".312",".341",34.4,13,41.2,"80.898016462","94.733091318",20.9,45.6
"Sale, Chris",519242,2026,216,29.6,6.5,".253",".280",30.8,7.5,31.6,"75.631472985","93.076420602",28.5,50.6
"May, Dustin",669160,2026,205,17.1,7.3,".347",".332",35.5,6.6,52,"79.826841333","95.394426333",17.9,46.6
"Ryan, Joe",657746,2026,203,25.6,6.9,".266",".283",29.9,10.4,42.5,"79.735613881","94.788210752",24.6,49.8
"Cantillo, Joey",676282,2026,188,21.8,10.6,".324",".312",25.4,7.9,42.1,"77.06442873","94.39648944",27.5,44
"Bibee, Tanner",676440,2026,222,21.2,9,".323",".307",30.5,7.1,45.5,"80.592921688","94.702618105",28.7,46
"Bradley, Taj",671737,2026,199,26.1,8.5,".297",".312",44.5,10.2,45.3,"83.723387656","95.232082913",26.8,45.9
"Eovaldi, Nathan",543135,2026,200,23.5,5,".321",".331",32.1,8.6,46.4,"79.241950571","95.121335929",30.7,53.6
"Warren, Will",701542,2026,198,29.8,6.1,".294",".285",34.1,7.1,41.3,"81.268320635","95.029689365",24.9,43
"Ober, Bailey",641927,2026,209,18.7,7.2,".270",".284",25.5,7.2,30.1,"75.288750789","92.774098947",21.4,46.9
"Ashcraft, Braxton",677952,2026,219,25.6,6.4,".282",".271",28.1,5.5,37.7,"79.856144583","94.135084375",27.4,50.3
"Mahle, Tyler",641816,2026,206,23.3,10.2,".369",".322",32.1,9.6,35.8,"79.356625373","94.063838209",21.6,42.6
